t,roll,pitch
0.030001401901245117,0.0,0.0
0.060004234313964844,0.0,0.0
0.09000539779663086,0.0,0.0
0.12000656127929688,0.0,0.0
0.150007963180542,0.0,0.0
0.1800088882446289,0.0,0.0
0.21001029014587402,0.0,0.0
0.24001240730285645,0.0,0.0
0.27001380920410156,0.0,0.0
0.3000149726867676,0.0,0.0
0.3300161361694336,0.0,0.0
0.3600172996520996,0.0,0.0
0.3900184631347656,0.0,0.0
0.42002010345458984,0.0,0.0
0.45002293586730957,0.0,0.0
0.4800240993499756,0.0,0.0
0.5100250244140625,0.0,0.0
0.5400264263153076,0.0,0.0
0.5700275897979736,0.0,0.0
0.6000287532806396,0.0,0.0
0.6300299167633057,0.0,0.0
0.6600308418273926,0.0,0.0
0.6900320053100586,0.0,0.0
0.7200331687927246,0.0,0.0
0.7500345706939697,0.0,0.0
0.7800359725952148,0.0,0.0
0.8100368976593018,0.0,0.0
0.8400380611419678,0.0,0.0
0.8700392246246338,0.0,0.0
0.9000403881072998,0.0,0.0
0.9300413131713867,0.0,0.0
0.9600419998168945,0.0,0.0
0.9900429248809814,0.0,0.0
1.0200438499450684,0.0,0.0
1.0500447750091553,0.0,0.0
1.0800459384918213,0.0,0.0
1.1100468635559082,0.0,0.0
1.1400477886199951,0.0,0.0
1.1700494289398193,0.0,0.0
1.2000515460968018,0.0,0.0
1.2300517559051514,0.0,0.0
1.2600524425506592,0.0,0.0
1.290053367614746,0.0,0.0
1.320054531097412,0.0,0.0
1.3500561714172363,0.0,0.0
1.3800568580627441,0.0,0.0
1.410057783126831,0.0,0.0
1.4400591850280762,0.0,0.0
1.4700608253479004,0.0,0.0
1.5000624656677246,0.0,0.0
1.5300631523132324,0.0,0.0
1.5600640773773193,0.0,0.0
1.5900654792785645,0.0,0.0
1.6200666427612305,0.0,0.0
1.6500678062438965,0.0,0.0
1.6800687313079834,0.0,0.0
1.7100696563720703,0.0,0.0
1.7400710582733154,0.0,0.0
1.7700726985931396,0.0,0.0
1.800074815750122,0.0,0.0
1.8300786018371582,0.0,0.0
1.8600797653198242,0.0,0.0
1.8900811672210693,0.0,0.0
1.9200828075408936,0.0,0.0
1.9500846862792969,0.0,0.0
1.9800856113433838,0.0,0.0
2.01008677482605,0.0,0.0
2.040088176727295,0.0,0.0
2.070089340209961,0.0,0.0
2.100090503692627,0.0,0.0
2.130091667175293,0.0,0.0
2.160093069076538,0.0,0.0
2.190094232559204,0.0,0.0
2.220095634460449,0.0,0.0
2.2500979900360107,0.0,0.0
2.2800981998443604,0.0,0.0
2.3100991249084473,0.0,0.0
2.3401010036468506,0.0,0.0
2.3701024055480957,0.0,0.0
2.40010404586792,0.0,0.0
2.430104970932007,0.0,0.0
2.460106134414673,0.0,0.0
2.490107536315918,0.0,0.0
2.520108461380005,0.0,0.0
2.5501105785369873,0.0,0.0
2.5801117420196533,0.0,0.0
2.6101133823394775,0.0,0.0
2.6401145458221436,0.0,0.0
2.6701159477233887,0.0,0.0
2.7001168727874756,0.0,0.0
2.7301177978515625,0.0,0.0
2.7601189613342285,0.0,0.0
2.7901201248168945,0.0,0.0
2.8201208114624023,0.0,0.0
2.8501222133636475,0.0,0.0
2.8801231384277344,0.0,0.0
2.910123825073242,0.0,0.0
2.940124750137329,0.0,0.0
2.970125675201416,0.0,0.0
3.000127077102661,0.0,0.0
3.0301284790039062,0.0,0.0
3.060129404067993,0.0,0.0
3.090130567550659,0.0,0.0
3.120131731033325,0.0,0.0
3.1501331329345703,0.0,0.0
3.1801342964172363,0.0,0.0
3.2101354598999023,0.0,0.0
3.2401368618011475,0.0,0.0
3.2701380252838135,0.0,0.0
3.3001387119293213,0.0,0.0
3.330139636993408,0.0,0.0
3.360140800476074,0.0,0.0
3.3901419639587402,0.0,0.0
3.4201431274414062,0.0,0.0
3.450145721435547,0.0,0.0
3.4801459312438965,0.0,0.0
3.5101468563079834,0.0,0.0
3.5401484966278076,0.0,0.0
3.570150136947632,0.0,0.0
3.6001510620117188,0.0,0.0
3.6301519870758057,0.0,0.0
3.6601529121398926,0.0,0.0
3.6901543140411377,0.0,0.0
3.7201552391052246,0.0,0.0
3.750156879425049,0.0,0.0
3.780158042907715,0.0,0.0
3.8101587295532227,0.0,0.0
3.8401613235473633,0.0,0.0
3.87016224861145,0.0,0.0
3.900163412094116,0.0,0.0
3.930164337158203,0.0,0.0
3.960165500640869,0.0,0.0
3.990166664123535,0.0,0.0
4.020167827606201,0.0,0.0
4.050168752670288,0.0,0.0
4.080169916152954,0.0,0.0
4.110170602798462,0.0,0.0
4.14017128944397,0.0,0.0
4.170172691345215,0.0,0.0
4.20017409324646,0.0,0.0
4.230174541473389,0.0,0.0
4.260175704956055,0.0,0.0
4.290176630020142,0.0,0.0
4.320177793502808,0.0,0.0
4.350179672241211,0.0,0.0
4.380180358886719,0.0,0.0
4.410181522369385,0.0,0.0
4.44018292427063,0.0,0.0
4.470184326171875,0.0,0.0
4.50018572807312,0.0,0.0
4.530187129974365,0.0,0.0
4.560188293457031,0.0,0.0
4.590189695358276,0.0,0.0
4.62019157409668,0.0,0.0
4.650193214416504,0.0,0.0
4.680193901062012,0.0,0.0
4.710195302963257,0.0,0.0
4.740196466445923,0.0,0.0
4.770197868347168,0.0,0.0
4.8002002239227295,0.0,0.0
4.830200910568237,0.0,0.0
4.860201835632324,0.0,0.0
4.890202760696411,0.0,0.0
4.920203924179077,0.0,0.0
4.950206279754639,0.0,0.0
4.9802069664001465,0.0,0.0
5.010207891464233,0.0,0.0
5.040209054946899,0.0,0.0
5.070212364196777,0.0,0.0
5.10021185874939,0.0,0.0
5.130213022232056,0.0,0.0
5.160214424133301,0.0,0.0
5.190215349197388,0.0,0.0
5.220216512680054,0.0,0.0
5.250217437744141,0.0,0.0
5.280217885971069,0.0,0.0
5.310218811035156,0.0,0.0
5.3402204513549805,0.0,0.0
5.370222330093384,0.0,0.0
5.400223255157471,0.0,0.0
5.430224180221558,0.0,0.0
5.4602251052856445,0.0,0.0
5.4902260303497314,0.0,0.0
5.5202271938323975,0.0,0.0
5.550228595733643,0.0,0.0
5.580229997634888,0.0,0.0
5.610231161117554,0.0,0.0
5.640232563018799,0.0,0.0
5.670234203338623,0.0,0.0
5.700235605239868,0.0,0.0
5.730237007141113,0.0,0.0
5.760237693786621,0.0,0.0
5.790238618850708,0.0,0.0
5.820240259170532,0.0,0.0
5.850241184234619,0.0,0.0
5.880242109298706,0.0,0.0
5.910242795944214,0.0,0.0
5.94024395942688,0.0,0.0
5.970244884490967,0.0,0.0
6.000246524810791,0.0,0.0
6.030247449874878,0.0,0.0
6.060248613357544,0.0,0.0
6.090249538421631,0.0,0.0
6.120250463485718,0.0,0.0
6.150251626968384,0.0,0.0
6.180253267288208,0.0,0.0
6.210253953933716,0.0,0.0
6.240255117416382,0.0,0.0
6.270256996154785,0.0,0.0
6.3002588748931885,0.0,0.0
6.330259323120117,0.0,0.0
6.360260486602783,0.0,0.0
6.390261650085449,0.0,0.0
6.420262813568115,0.0,0.0
6.450264930725098,0.0,0.0
6.480265855789185,0.0,0.0
6.510267019271851,0.0,0.0
6.540268898010254,0.0,0.0
6.570270538330078,0.0,0.0
6.600271701812744,0.0,0.0
6.630272626876831,0.0,0.0
6.660273790359497,0.0,0.0
6.690274953842163,0.0,0.0
6.720276117324829,0.0,0.0
6.750277519226074,0.0,0.0
6.7802793979644775,0.0,0.0
6.8102803230285645,0.0,0.0
6.84028172492981,0.0,0.0
6.870284080505371,0.0,0.0
6.900285243988037,0.0,0.0
6.930285930633545,0.0,0.0
6.960287094116211,0.0,0.0
6.990288257598877,0.0,0.0
7.020289421081543,0.0,0.0
7.050291299819946,0.0,0.0
7.080292701721191,0.0,0.0
7.110293626785278,0.0,0.0
7.140295028686523,0.0,0.0
7.17029595375061,0.0,0.0
7.200298070907593,0.0,0.0
7.230299711227417,0.0,0.0
7.260300636291504,0.0,0.0
7.29030179977417,0.0,0.0
7.320302724838257,0.0,0.0
7.350304126739502,0.0,0.0
7.380305290222168,0.0,0.0
7.410306453704834,0.0,0.0
7.440308094024658,0.0,0.0
7.470309257507324,0.0,0.0
7.500311374664307,0.0,0.0
7.530312538146973,0.0,0.0
7.56031346321106,0.0,0.0
7.590315103530884,0.0,0.0
7.620315790176392,0.0,0.0
7.650316953659058,0.0,0.0
7.6803178787231445,0.0,0.0
7.710318565368652,0.0,0.0
7.74031925201416,0.0,0.0
7.770320653915405,0.0,0.0
7.800321578979492,0.0,0.0
7.830322504043579,0.0,0.0
7.860323190689087,0.0,0.0
7.890324354171753,0.0,0.0
7.920325756072998,0.0,0.0
7.950327157974243,0.0,0.0
7.980328321456909,0.0,0.0
8.010329484939575,0.0,0.0
8.040332317352295,0.0,0.0
8.070333242416382,0.0,0.0
8.100335121154785,0.0,0.0
8.130336046218872,0.0,0.0
8.160336971282959,0.0,0.0
8.190338134765625,0.0,0.0
8.220339059829712,0.0,0.0
8.250340223312378,0.0,0.0
8.280341625213623,0.0,0.0
8.310342788696289,0.0,0.0
8.340344190597534,0.0,0.0
8.370346069335938,0.0,0.0
8.400346994400024,0.0,0.0
8.43034815788269,0.0,0.0
8.460349082946777,0.0,0.0
8.490350246429443,0.0,0.0
8.520351648330688,0.0,0.0
8.550353765487671,0.0,0.0
8.580354690551758,0.0,0.0
8.610356092453003,0.0,0.0
8.640357255935669,0.0,0.0
8.670358657836914,0.0,0.0
8.700361013412476,0.0,0.0
8.730361700057983,0.0,0.0
8.76036286354065,0.0,0.0
8.790363788604736,0.0,0.0
8.820364713668823,0.0,0.0
8.850366592407227,0.0,0.0
8.880367517471313,0.0,0.0
8.91036868095398,0.0,0.0
8.940370082855225,0.0,0.0
8.970371723175049,0.0,0.0
9.000372886657715,0.0,0.0
9.03037405014038,0.0,0.0
9.060375213623047,0.0,0.0
9.09037709236145,0.0,0.0
9.120378017425537,0.0,0.0
9.150379419326782,0.0,0.0
9.18038034439087,0.0,0.0
9.210380792617798,0.0,0.0
9.240382194519043,0.0,0.0
9.270383358001709,0.0,0.0
9.300385475158691,0.0,0.0
9.330386400222778,0.0,0.0
9.360387086868286,0.0,0.0
9.390388488769531,0.0,0.0
9.420389652252197,0.0,0.0
9.450390815734863,0.0,0.0
9.480392217636108,0.0,0.0
9.510393142700195,0.0,0.0
9.54039454460144,0.0,0.0
9.57039499282837,0.0,0.0
9.600396156311035,0.0,0.0
9.630397319793701,0.0,0.0
9.660398483276367,0.0,0.0
9.690399408340454,0.0,0.0
9.72040057182312,0.0,0.0
9.750401020050049,0.0,0.0
9.780401945114136,0.0,0.0
9.81040358543396,0.0,0.0
9.840405464172363,0.0,0.0
9.87040638923645,0.0,0.0
9.900408744812012,0.0,0.0
9.93040919303894,0.0,0.0
9.960410118103027,0.0,0.0
9.990411043167114,0.0,0.0
10.020411968231201,0.0,0.0
10.050412654876709,0.0,0.0
10.080413818359375,0.0,0.0
10.110414981842041,0.0,0.0
10.140416145324707,0.0,0.0
10.170417308807373,0.0,0.0
10.200418949127197,0.0,0.0
10.230420112609863,0.0,0.0
10.26042103767395,0.0,0.0
10.290422677993774,0.0,0.0
10.32042384147644,0.0,0.0
10.350425481796265,0.0,0.0
10.380426406860352,0.0,0.0
10.410427808761597,0.0,0.0
10.440429449081421,0.0,0.0
10.470431327819824,0.0,0.0
10.500432252883911,0.0,0.0
10.530433654785156,0.0,0.0
10.56043529510498,0.0,0.0
10.590436220169067,0.0,0.0
10.620437383651733,0.0,0.0
10.650439977645874,0.0,0.0
10.680440664291382,0.0,0.0
10.710441827774048,0.0,0.0
10.740443706512451,0.0,0.0
10.77044415473938,0.0,0.0
10.800445795059204,0.0,0.0
10.83044695854187,0.0,0.0
10.860448122024536,0.0,0.0
10.890449523925781,0.0,0.0
10.920450448989868,0.0,0.0
10.95045256614685,0.0,0.0
10.980454206466675,0.0,0.0
11.010455131530762,0.0,0.0
11.040456295013428,0.0,0.0
11.070458173751831,0.0,0.0
11.100459337234497,0.0,0.0
11.130460500717163,0.0,0.0
11.16046142578125,0.0,0.0
11.190462827682495,0.0,0.0
11.220463991165161,0.0,0.0
11.250465154647827,0.0,0.0
11.280466556549072,0.0,0.0
11.310468196868896,0.0,0.0
11.3404700756073,0.0,0.0
11.370471000671387,0.0,0.0
11.400472402572632,0.0,0.0
11.430473327636719,0.0,0.0
11.460474729537964,0.0,0.0
11.49047589302063,0.0,0.0
11.520477294921875,0.0,0.0
11.5504789352417,0.0,0.0
11.580479860305786,0.0,0.0
11.610481023788452,0.0,0.0
11.640482425689697,0.0,0.0
11.670483827590942,0.0,0.0
11.700485706329346,0.0,0.0
11.730486392974854,0.0,0.0
11.76048731803894,0.0,0.0
11.790488481521606,0.0,0.0
11.820489645004272,0.0,0.0
11.850490808486938,0.0,0.0
11.880491256713867,0.0,0.0
11.910492181777954,0.0,0.0
11.9404935836792,0.0,0.0
11.970494508743286,0.0,0.0
12.00049614906311,0.0,0.0
12.030497074127197,0.0,0.0
12.060497999191284,0.0,0.0
12.09049940109253,0.0,0.0
12.120500326156616,0.0,0.0
12.15050196647644,0.0,0.0
12.180502653121948,0.0,0.0
12.210503578186035,0.0,0.0
12.240505695343018,0.0,0.0
12.270506620407104,0.0,0.0
12.30050802230835,0.0,0.0
12.330509185791016,0.0,0.0
12.36051058769226,0.0,0.0
12.390511512756348,0.0,0.0
12.420512676239014,0.0,0.0
12.450514316558838,0.0,0.0
12.480515241622925,0.0,0.0
12.51051640510559,0.0,0.0
12.540518045425415,0.0,0.0
12.57051944732666,0.0,0.0
12.600520372390747,0.0,0.0
12.630521535873413,0.0,0.0
12.660522222518921,0.0,0.0
12.690523386001587,0.0,0.0
12.720524311065674,0.0,0.0
12.75052547454834,0.0,0.0
12.780526399612427,0.0,0.0
12.810527563095093,0.0,0.0
12.840528726577759,0.0,0.0
12.870532751083374,0.0,0.0
12.900530815124512,0.0,0.0
12.930531978607178,0.0,0.0
12.960532903671265,0.0,0.0
12.990534543991089,0.0,0.0
13.020535945892334,0.0,0.0
13.050537347793579,0.0,0.0
13.080538749694824,0.0,0.0
13.11053991317749,0.0,0.0
13.140541076660156,0.0,0.0
13.170542478561401,0.0,0.0
13.200544357299805,0.0,0.0
13.23054575920105,0.0,0.0
13.260546922683716,0.0,0.0
13.290547609329224,0.0,0.0
13.320549011230469,0.0,0.0
13.350550651550293,0.0,0.0
13.380551815032959,0.0,0.0
13.410552978515625,0.0,0.0
13.440554857254028,0.0,0.0
13.470556497573853,0.0,0.0
13.500557661056519,0.0,0.0
13.530558824539185,0.0,0.0
13.56056022644043,0.0,0.0
